"text","favorited","favoriteCount","replyToSN","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Wall Street investors may be in for a lot of bad news all at once at companies start reporting quarterly earnings t… https://t.co/xegn9yvMMZ",FALSE,100,NA,TRUE,NA,"1183789630044413953",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",45,FALSE,FALSE,NA,NA
"@maggieNYT @AsteadWesley @jmartNYT @alexburnsNYT @llerer @patrickhealynyt Which Democrat does President Trump most… https://t.co/IFwc092zS9",FALSE,48,"nytimes",TRUE,"1183783629396332544","1183786636095754240","807095","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nytimes",17,FALSE,FALSE,NA,NA
"Fortnite, one of the world’s most popular video games, has gone quiet. Here's what we know about the state of the g… https://t.co/D3REQhHiGo",FALSE,212,NA,TRUE,NA,"1183785558646181890",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",66,FALSE,FALSE,NA,NA
"@maggieNYT @AsteadWesley @jmartNYT @alexburnsNYT @llerer @patrickhealynyt Which Democrat has the most to lose in Tu… https://t.co/aqnVbKFkzB",FALSE,52,"nytimes",TRUE,"1183779545129857026","1183783629396332544","807095","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nytimes",5,FALSE,FALSE,NA,NA
"Live in 10 minutes: Our journalists preview Tuesday's Democratic debate, look at what to watch for, and answer your… https://t.co/aYF0MYdUVg",FALSE,153,NA,TRUE,NA,"1183779545129857026",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",37,FALSE,FALSE,NA,NA
"In August, the bank agreed to pay $16 million in a settlement with the SEC related to allegations that it had used… https://t.co/IjpOUtfA3U",FALSE,106,"nytimes",TRUE,"1183777400309444608","1183777519675281410","807095","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nytimes",47,FALSE,FALSE,NA,NA
"In a statement, a spokesman said Deutsche Bank had “thoroughly investigated and reported to authorities certain pas… https://t.co/ZtvZv8vuAX",FALSE,102,"nytimes",TRUE,"1183777398950641664","1183777400309444608","807095","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nytimes",43,FALSE,FALSE,NA,NA
"@SZ According to the documents, Deutsche Bank’s tactics included collaborating with family members of Wen Jiabao, C… https://t.co/mPqkrvpKD1",FALSE,59,"nytimes",TRUE,"1183777126862020609","1183777398950641664","807095","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nytimes",29,FALSE,FALSE,NA,NA
"@SZ Deutsche Bank’s scheme in China began nearly 2 decades ago, when it had virtually no presence there. And it wor… https://t.co/OCiqiRPz77",FALSE,44,"nytimes",TRUE,"1183777032028725253","1183777126862020609","807095","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nytimes",23,FALSE,FALSE,NA,NA
"The documents, obtained by the German newspaper @SZ and shared with NYT, reveal Deutsche Bank paid millions to Chin… https://t.co/mCQPMwWmzy",FALSE,76,"nytimes",TRUE,"1183775294949351430","1183777032028725253","807095","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nytimes",43,FALSE,FALSE,NA,NA
